3, 1, 0.000013, 0.000001
3, 2, 0.000001, 0.000001
3, 4, 0.000001, 0.000001
3, 8, 0.000001, 0.000001
3, 16, 0.000000, 0.000001
3, 32, 0.000001, 0.000002
3, 64, 0.000001, 0.000000
3, 128, 0.000001, 0.000002
3, 256, 0.000001, 0.000000
3, 512, 0.000001, 0.000001
3, 1024, 0.000001, 0.000000
3, 2048, 0.000001, 0.000001
3, 4096, 0.000000, 0.000000
3, 8192, 0.000002, 0.000000
3, 16384, 0.000000, 0.000000
3, 32768, 0.000001, 0.000001
3, 65536, 0.000000, 0.000001
3, 131072, 0.000001, 0.000000
3, 262144, 0.000002, 0.000001
3, 524288, 0.000000, 0.000000
3, 1048576, 0.000008, 0.000002
3, 2097152, 0.000003, 0.000000
3, 4194304, 0.000003, 0.000001
3, 8388608, 0.000004, 0.000001
