2,0,I,1,32,0.000032
2,1,M,2,64,0.000064
2,2,M,3,96,0.000096
2,3,M,4,128,0.000128
2,4,M,5,160,0.000160
2,5,M,6,192,0.000192
2,6,M,7,224,0.000224
2,7,M,8,256,0.000256
2,8,M,9,288,0.000288
2,9,M,10,320,0.000320
2,10,F,10,320,0.000320
2,11,M,11,352,0.000352
2,12,M,12,384,0.000384
2,13,M,13,416,0.000416
2,14,M,14,448,0.000448
2,15,F,13,416,0.000416
2,16,M,14,448,0.000448
2,17,M,15,480,0.000480
2,18,M,16,512,0.000512
2,19,M,18,576,0.000530
2,20,M,19,608,0.000560
2,21,F,19,608,0.000560
2,22,M,20,640,0.000589
2,23,M,22,704,0.000601
2,24,M,24,768,0.000625
2,25,M,26,832,0.000631
2,26,M,27,864,0.000655
2,27,M,28,896,0.000679
2,28,F,27,864,0.000655
2,29,M,29,928,0.000674
2,30,M,30,960,0.000697
2,31,M,32,1024,0.000712
2,32,M,34,1088,0.000729
2,33,F,33,1056,0.000708
2,34,M,35,1120,0.000712
2,35,F,35,1120,0.000712
2,36,M,36,1152,0.000732
2,37,F,36,1152,0.000732
2,38,M,37,1184,0.000752
2,39,F,36,1152,0.000732
2,40,M,38,1216,0.000727
2,41,M,40,1280,0.000737
2,42,F,39,1248,0.000718
2,43,M,40,1280,0.000737
2,44,M,41,1312,0.000755
2,45,M,43,1376,0.000762
2,46,M,45,1440,0.000757
2,47,F,44,1408,0.000741
2,48,M,45,1440,0.000757
2,49,M,46,1472,0.000774
2,50,M,47,1504,0.000791
2,51,F,46,1472,0.000774
2,52,M,47,1504,0.000791
2,53,F,47,1504,0.000791
2,54,M,48,1536,0.000808
2,55,M,50,1600,0.000820
2,56,M,51,1632,0.000837
2,57,M,53,1696,0.000826
2,58,F,52,1664,0.000811
2,59,F,51,1632,0.000795
2,60,M,52,1664,0.000811
2,61,F,51,1632,0.000795
2,62,M,52,1664,0.000811
2,63,M,54,1728,0.000803
2,64,M,56,1792,0.000804
2,65,F,56,1792,0.000804
2,66,M,57,1824,0.000818
2,67,M,58,1856,0.000833
2,68,M,60,1920,0.000834
2,69,F,59,1888,0.000820
2,70,M,60,1920,0.000834
2,71,F,59,1888,0.000820
2,72,M,60,1920,0.000834
2,73,M,61,1952,0.000848
2,74,M,63,2016,0.000856
2,75,M,64,2048,0.000869
2,76,F,63,2016,0.000856
2,77,M,65,2080,0.000849
2,78,M,66,2112,0.000862
2,79,M,68,2176,0.000864
2,80,M,70,2240,0.000865
2,81,F,69,2208,0.000853
2,82,M,71,2272,0.000852
2,83,F,70,2240,0.000840
2,84,F,69,2208,0.000828
2,85,M,70,2240,0.000840
2,86,M,71,2272,0.000852
2,87,F,70,2240,0.000840
2,88,M,71,2272,0.000852
2,89,F,70,2240,0.000840
2,90,M,71,2272,0.000852
2,91,F,71,2272,0.000852
2,92,M,73,2336,0.000855
2,93,M,75,2400,0.000854
2,94,M,76,2432,0.000865
2,95,F,76,2432,0.000865
2,96,M,77,2464,0.000877
2,97,F,76,2432,0.000865
2,98,F,76,2432,0.000865
2,99,M,78,2496,0.000865
2,100,M,80,2560,0.000858
2,101,F,80,2560,0.000858
2,102,F,79,2528,0.000848
2,103,F,77,2464,0.000826
2,104,F,76,2432,0.000815
2,105,F,74,2368,0.000794
2,106,F,73,2336,0.000783
2,107,F,72,2304,0.000773
2,108,F,71,2272,0.000762
2,109,F,70,2240,0.000751
2,110,F,70,2240,0.000751
2,111,F,69,2208,0.000740
2,112,F,68,2176,0.000730
2,113,F,67,2144,0.000719
2,114,F,65,2080,0.000697
2,115,F,63,2016,0.000676
2,116,F,62,1984,0.000665
2,117,F,60,1920,0.000644
2,118,F,58,1856,0.000622
2,119,F,56,1792,0.000601
2,120,F,55,1760,0.000590
2,121,F,54,1728,0.000579
2,122,F,52,1664,0.000558
2,123,F,50,1600,0.000536
2,124,F,48,1536,0.000515
2,125,F,47,1504,0.000504
2,126,F,46,1472,0.000494
2,127,F,44,1408,0.000472
2,128,F,43,1376,0.000461
2,129,F,42,1344,0.000451
2,130,F,41,1312,0.000440
2,131,F,39,1248,0.000418
2,132,F,38,1216,0.000408
2,133,F,36,1152,0.000386
2,134,F,34,1088,0.000365
2,135,F,34,1088,0.000365
2,136,F,33,1056,0.000354
2,137,F,31,992,0.000333
2,138,F,30,960,0.000322
2,139,F,28,896,0.000300
2,140,F,27,864,0.000290
2,141,F,26,832,0.000279
2,142,F,25,800,0.000268
2,143,F,24,768,0.000258
2,144,F,22,704,0.000236
